Date,Open,High,Low,Close,Adj Close,Volume
2016-08-31,115.510002,116.000000,115.199997,115.660004,98.310234,5394700
2016-09-01,115.510002,115.809998,114.860001,115.400002,98.089233,3966600
2016-09-02,115.930000,116.110001,115.699997,115.830002,98.454735,3410100
2016-09-06,117.089996,119.239998,116.910004,117.250000,99.661728,6337900
2016-09-07,117.269997,117.489998,116.440002,116.919998,99.381180,2647700
2016-09-08,116.820000,117.110001,116.040001,116.169998,98.743729,3085600
2016-09-09,115.599998,115.760002,114.580002,114.580002,97.392250,4961100
2016-09-12,114.470001,116.180000,114.129997,115.949997,98.556747,5014000
2016-09-13,115.610001,115.610001,114.480003,114.730003,97.519737,4162200
2016-09-14,115.000000,115.660004,114.820000,115.180000,97.902229,4530700
2016-09-15,114.879997,116.239998,114.769997,116.139999,98.718239,3671200
2016-09-16,115.680000,116.260002,114.830002,115.279999,97.987236,9500500
2016-09-19,115.830002,116.410004,114.959999,115.209999,97.927750,3741500
2016-09-20,115.720001,116.629997,115.500000,116.449997,98.981728,3841800
2016-09-21,116.489998,117.050003,115.959999,116.930000,99.389717,4528900
2016-09-22,117.459999,117.949997,117.279999,117.360001,99.755226,3808800
2016-09-23,116.489998,117.519997,116.349998,117.169998,99.593719,2776000
2016-09-26,116.800003,116.940002,116.279999,116.529999,99.049728,3022400
2016-09-27,116.949997,117.199997,116.370003,116.879997,99.347229,3745400
2016-09-28,116.379997,116.529999,114.459999,115.180000,97.902229,5638900
2016-09-29,115.199997,115.970001,114.730003,114.790001,97.570740,4924400
2016-09-30,114.690002,115.709999,114.690002,115.360001,98.055229,4188700
2016-10-03,115.010002,115.150002,114.410004,114.639999,97.443237,3085800
2016-10-04,114.989998,115.510002,113.419998,113.500000,96.474251,4742900
2016-10-05,113.910004,114.830002,113.379997,113.410004,96.397751,3720300
2016-10-06,113.250000,114.220001,112.400002,113.919998,96.831230,3900000
2016-10-07,113.970001,114.339996,113.220001,113.449997,96.431755,4153100
2016-10-10,114.209999,114.989998,114.160004,114.709999,97.502731,3290300
2016-10-11,114.650002,115.230003,113.559998,113.680000,96.627243,3943300
2016-10-12,113.599998,115.230003,113.540001,114.709999,97.502731,3340200
2016-10-13,114.139999,115.739998,114.070000,115.410004,98.097733,4464700
2016-10-14,114.900002,115.110001,114.070000,114.089996,96.975739,5312500
2016-10-17,113.910004,114.400002,112.099998,112.410004,95.547760,5655700
2016-10-18,112.889999,113.089996,111.230003,111.250000,94.561775,6198400
2016-10-19,111.709999,111.769997,111.120003,111.260002,94.570259,6433400
2016-10-20,111.300003,111.300003,110.330002,110.570000,93.983757,7250700
2016-10-21,113.269997,114.500000,112.750000,113.930000,96.839752,10108000
2016-10-24,114.250000,114.500000,112.639999,113.570000,96.533752,6173500
2016-10-25,113.500000,113.540001,112.669998,112.720001,95.811249,4879000
2016-10-26,112.269997,112.699997,111.400002,112.110001,95.292747,3763100
2016-10-27,112.169998,112.489998,111.779999,112.080002,95.267235,2960700
2016-10-28,112.260002,112.349998,111.529999,112.099998,95.284264,3304700
2016-10-31,112.459999,112.730003,111.790001,112.570000,95.683754,4181600
2016-11-01,112.650002,112.769997,111.949997,112.250000,95.411751,3935600
